"LLIW","InsChange","MeanRH","WindFieldMt","SubjVertMo","SynForcng","LoLevMoistAd","Boundaries","AMInsWliScen","N34StarFcst","N0_7muVerMo","WndHodograph","ScenRel3_4","WindAloft","AreaMeso_ALS","ScenRelAMIns","CapInScen","Dewpoints","MorningCIN","CldShadeOth","Date","MorningBound","LIfr12ZDENSd","InsSclInScen","InsInMt","IRCloudCover","RHRatio","LatestCIN","QGVertMotion","MountainFcst","MvmtFeatures","SatContMoist","SfcWndShfDis","Scenario","CapChange","AMInstabMt","CurPropConv","AMCINInScen","CldShadeConv","RaoContMoist","CompPlFcst","LowLLapse","R5Fcst","PlainsFcst","MidLLapse","ScnRelPlFcst","AMDewptCalPl","CombVerMo","WindFieldPln","AreaMoDryAir","CombClouds","VISCloudCov","CombMoisture","OutflowFrMt","ScenRelAMCIN","TempDis"
"Weak","Increasing","VeryMoist","LVorOther","WeakUp","NegToPos","WeakPos","Weak","Average","SIG","WeakUp","StrongWest","HI","SWQuad","WeakUp","H","LessThanAve","LowSHighN","PartInhibit","Clear","May15_Jun14","None","N1GtLIGt_4","MoreUnstable","Strong","Cloudy","DryMMoistL","None","WeakUp","XNIL","MarkedUpper","Neutral","MovingFtorOt","H","Decreasing","Weak","None","Average","Marked","Neutral","DecCapIncIns","Stable","SIG","SIG","Steep","H","Neutral","WeakUp","SEQuad","Wet","Clear","Clear","Wet","Strong","CThruK","None"
"Weak","LittleChange","Average","Westerly","StronUp","LittleChange","Neutral","Strong","MoreUnstable","XNIL","WeakUp","StrongWest","ACEFK","NWQuad","Neutral","CDEJ","LessThanAve","LowNHighS","PartInhibit","Clear","Jul16_Aug10","Strong","N1GtLIGt_4","MoreUnstable","Strong","Clear","MoistMDryL","PartInhibit","Down","SVR","OtherRapid","Neutral","None","E","LittleChange","Strong","None","LessThanAve","Marked","VeryWet","LittleChange","Stable","SVR","XNIL","ModerateOrLe","E","Instability","Neutral","WidespdDnsl","Wet","Clear","PC","VeryWet","Strong","CThruK","None"
"Weak","Decreasing","VeryMoist","LVorOther","Down","SigPositive","Negative","None","Average","SIG","WeakUp","StrongWest","ACEFK","NWQuad","Down","K","MoreThanAve","LowEvrywhere","Stifling","PC","May15_Jun14","None","N5GtLIGt_8","Average","Strong","Clear","DryMMoistL","None","Down","XNIL","StrongFront","Wet","MovingFtorOt","K","LittleChange","Strong","Moderate","MoreThanAve","Marked","Dry","LittleChange","ModerateOrLe","SIG","SIG","ModerateOrLe","K","Instability","Down","WidespdDnsl","VeryWet","Clear","Clear","VeryWet","None","CThruK","None"
"Moderate","LittleChange","Dry","Westerly","Neutral","SigPositive","Neutral","None","LessUnstable","XNIL","WeakUp","DCVZFavor","GJ","NWQuad","WeakUp","G","LessThanAve","LowEvrywhere","PartInhibit","PC","Aug20_Sep15","None","N1GtLIGt_4","LessUnstable","Strong","PC","Other","None","WeakUp","SIG","NoMajor","Dry","Other","G","Decreasing","Weak","Slight","Average","Marked","VeryWet","DecCapIncIns","CloseToDryAd","SIG","XNIL","CloseToDryAd","G","Neutral","WeakUp","LongAnticyc","Dry","Clear","Clear","Dry","Weak","CThruK","None"
"Moderate","Increasing","Average","Westerly","WeakUp","NegToPos","Negative","Weak","LessUnstable","XNIL","Down","StrongWest","ACEFK","SWQuad","WeakUp","ABI","MoreThanAve","LowSHighN","Stifling","PC","Jun15_Jul1","None","N1GtLIGt_4","MoreUnstable","Strong","PC","Other","None","StrongUp","SVR","StrongFront","Neutral","DenvCyclone","A","Increasing","Weak","Strong","Average","Marked","Neutral","IncCapDecIns","Steep","SVR","XNIL","Steep","A","Stability","WeakUp","DenvCyclone","Neutral","PC","Clear","Neutral","Weak","AB","Other"
"Unfavorable","Increasing","VeryMoist","Westerly","Neutral","PosToNeg","StrongPos","Weak","LessUnstable","SIG","StrongUp","Westerly","B","SWQuad","WeakUp","ABI","Average","HighEvrywher","Stifling","Cloudy","Aug20_Sep15","None","LIGt0","MoreUnstable","Strong","Clear","DryMMoistL","PartInhibit","Neutral","XNIL","StrongFront","Neutral","E_W_S","B","Increasing","Weak","None","LessThanAve","Marked","Dry","IncCapDecIns","Stable","SIG","SVR","ModerateOrLe","B","Stability","WeakUp","DenvCyclone","Neutral","PC","PC","Neutral","Strong","AB","QStationary"
"Moderate","Decreasing","Average","Westerly","Neutral","SigPositive","Negative","Strong","LessUnstable","SIG","WeakUp","Westerly","ACEFK","NWQuad","Neutral","CDEJ","Average","LowAtStation","Stifling","PC","May15_Jun14","None","LILt_8","LessUnstable","Strong","Clear","Other","Stifling","Neutral","XNIL","NoMajor","Neutral","DryLine","C","Decreasing","Weak","None","Average","Some","VeryWet","DecCapIncIns","Steep","SIG","SIG","CloseToDryAd","C","Stability","Neutral","WidespdDnsl","Neutral","PC","PC","Neutral","Strong","CThruK","QStationary"
"Moderate","Decreasing","Average","LVorOther","StronUp","PosToNeg","WeakPos","Weak","LessUnstable","XNIL","StrongUp","DCVZFavor","GJ","NWQuad","StrongUp","G","LessThanAve","LowSHighN","PartInhibit","PC","Jun15_Jul1","Weak","LIGt0","LessUnstable","Weak","Clear","MoistMDryL","None","Neutral","SIG","MarkedUpper","Neutral","DryLine","G","Decreasing","Weak","Slight","Average","Some","Dry","DecCapIncIns","CloseToDryAd","SIG","XNIL","CloseToDryAd","G","Stability","StrongUp","LV","Neutral","PC","PC","Dry","Weak","CThruK","None"
"Moderate","Increasing","Dry","Westerly","Neutral","LittleChange","StrongPos","Strong","MoreUnstable","SVR","Down","Other","D","AllElse","Neutral","CDEJ","MoreThanAve","LowSHighN","Stifling","PC","May15_Jun14","Weak","N1GtLIGt_4","MoreUnstable","Strong","PC","Other","Stifling","StrongUp","SIG","StrongFront","Neutral","Other","D","LittleChange","Strong","Slight","MoreThanAve","Some","VeryWet","LittleChange","Steep","SVR","SVR","CloseToDryAd","D","Instability","Neutral","SEQuad","Neutral","PC","PC","Neutral","None","CThruK","Other"
"Strong","Increasing","Average","Westerly","StronUp","SigPositive","WeakPos","None","Average","SIG","WeakUp","DCVZFavor","HI","NWQuad","Down","H","Average","LowNHighS","PartInhibit","Clear","Aug11_Aug20","Weak","LIGt0","MoreUnstable","Strong","Clear","DryMMoistL","None","Down","SIG","MarkedUpper","VeryWet","None","H","Increasing","Strong","Strong","Average","Marked","Dry","IncCapDecIns","ModerateOrLe","SIG","SIG","Steep","H","Instability","Down","E_NE","Wet","Clear","Clear","VeryWet","Weak","CThruK","Moving"
"Weak","Increasing","Dry","Westerly","Neutral","NegToPos","StrongPos","None","LessUnstable","SIG","WeakUp","Other","ACEFK","SWQuad","Neutral","CDEJ","MoreThanAve","LowAtStation","None","Clear","Jun15_Jul1","None","N1GtLIGt_4","MoreUnstable","None","PC","DryMMoistL","None","Neutral","XNIL","MarkedUpper","VeryWet","E_W_N","C","Increasing","None","None","LessThanAve","None","Wet","IncCapDecIns","Steep","SIG","SIG","CloseToDryAd","C","Neutral","Neutral","LongAnticyc","Wet","Clear","Clear","VeryWet","None","CThruK","Other"
"Strong","Increasing","Dry","Westerly","Neutral","SigNegative","WeakPos","Weak","MoreUnstable","SIG","Neutral","Other","HI","NWQuad","Neutral","ABI","LessThanAve","LowSHighN","None","Clear","May15_Jun14","None","N1GtLIGt_4","MoreUnstable","Strong","Cloudy","MoistMDryL","PartInhibit","Down","SIG","NoMajor","Neutral","E_W_S","I","Decreasing","Weak","Strong","LessThanAve","None","Neutral","DecCapIncIns","CloseToDryAd","SIG","SIG","Steep","I","Instability","Neutral","LV","Neutral","Clear","Clear","Neutral","Weak","CThruK","QStationary"
"Weak","Increasing","VeryMoist","Westerly","Down","SigPositive","WeakPos","Strong","MoreUnstable","XNIL","WeakUp","StrongWest","ACEFK","NWQuad","Down","K","Average","LowNHighS","Stifling","Clear","May15_Jun14","Strong","N1GtLIGt_4","MoreUnstable","Strong","PC","MoistMDryL","PartInhibit","Neutral","XNIL","StrongFront","VeryWet","E_W_N","K","LittleChange","Weak","Slight","Average","Marked","Dry","LittleChange","Steep","XNIL","XNIL","ModerateOrLe","K","Instability","Down","E_NE","Neutral","Clear","Clear","VeryWet","Strong","CThruK","Moving"
"Moderate","LittleChange","Average","Westerly","Neutral","NegToPos","WeakPos","Weak","MoreUnstable","SVR","Down","Westerly","ACEFK","NWQuad","Neutral","CDEJ","MoreThanAve","LowEvrywhere","PartInhibit","PC","Aug20_Sep15","Strong","N5GtLIGt_8","MoreUnstable","Strong","Clear","Other","None","Down","SVR","OtherRapid","Neutral","E_W_N","C","Increasing","Strong","Strong","LessThanAve","Some","VeryWet","IncCapDecIns","CloseToDryAd","SVR","SIG","ModerateOrLe","C","Neutral","Neutral","LongAnticyc","Neutral","PC","Cloudy","Neutral","Strong","CThruK","None"
"Weak","Increasing","Dry","Westerly","StronUp","PosToNeg","StrongPos","Strong","MoreUnstable","XNIL","Down","DCVZFavor","ACEFK","LV","Neutral","K","MoreThanAve","LowMtsHighPl","PartInhibit","Clear","Aug20_Sep15","Strong","N1GtLIGt_4","MoreUnstable","Strong","PC","Other","Stifling","Neutral","SIG","StrongFront","Neutral","MovingFtorOt","K","Increasing","Weak","None","MoreThanAve","Marked","VeryWet","IncCapDecIns","Steep","SIG","XNIL","ModerateOrLe","K","Instability","Neutral","WidespdDnsl","Dry","Clear","Clear","Dry","Strong","CThruK","None"
"Moderate","Decreasing","Dry","LVorOther","Down","PosToNeg","Negative","Strong","MoreUnstable","SIG","StrongUp","DCVZFavor","HI","LV","WeakUp","ABI","Average","LowSHighN","PartInhibit","Clear","Jun15_Jul1","Weak","LILt_8","LessUnstable","None","Clear","Other","Stifling","Neutral","XNIL","NoMajor","VeryWet","E_W_S","I","LittleChange","None","Moderate","Average","None","Dry","LittleChange","ModerateOrLe","SIG","SIG","ModerateOrLe","I","Stability","WeakUp","LV","Wet","Clear","Clear","Neutral","None","CThruK","Moving"
"Strong","LittleChange","VeryMoist","Westerly","Neutral","SigNegative","Neutral","Weak","Average","SIG","Down","Other","ACEFK","SWQuad","Down","ABI","LessThanAve","LowMtsHighPl","Stifling","Clear","Aug20_Sep15","None","LILt_8","Average","Strong","Clear","DryMMoistL","TotalInhibit","Down","SIG","StrongFront","Wet","DenvCyclone","A","Increasing","Weak","Slight","LessThanAve","Marked","Dry","IncCapDecIns","ModerateOrLe","SIG","XNIL","Steep","A","Stability","Down","DenvCyclone","Wet","Clear","PC","VeryWet","None","AB","Other"
"Weak","Increasing","Average","Westerly","Neutral","LittleChange","StrongPos","None","MoreUnstable","SVR","StrongUp","DCVZFavor","B","SWQuad","StrongUp","ABI","LessThanAve","LowNHighS","PartInhibit","PC","Jul16_Aug10","None","N5GtLIGt_8","MoreUnstable","None","Clear","Other","None","Neutral","XNIL","NoMajor","VeryWet","MovingFtorOt","B","Increasing","None","None","LessThanAve","None","Dry","IncCapDecIns","Steep","SVR","SVR","CloseToDryAd","B","Instability","StrongUp","DenvCyclone","VeryWet","PC","PC","VeryWet","None","AB","None"
"Weak","LittleChange","Dry","Westerly","Down","SigNegative","Neutral","Weak","Average","SIG","Down","StrongWest","GJ","AllElse","Down","G","MoreThanAve","LowSHighN","Stifling","Clear","Aug11_Aug20","Weak","N1GtLIGt_4","Average","Strong","PC","MoistMDryL","None","Down","XNIL","NoMajor","VeryWet","None","G","LittleChange","Strong","Slight","MoreThanAve","Some","VeryWet","LittleChange","Steep","SIG","SIG","CloseToDryAd","G","Neutral","Down","WidespdDnsl","VeryWet","PC","PC","VeryWet","Weak","CThruK","None"
"Strong","Decreasing","VeryMoist","LVorOther","StronUp","PosToNeg","Negative","None","LessUnstable","SVR","Neutral","StrongWest","B","AllElse","StrongUp","ABI","LessThanAve","LowAtStation","None","Clear","Jul2_Jul15","None","N1GtLIGt_4","LessUnstable","None","PC","Other","None","StrongUp","XNIL","OtherRapid","Neutral","DenvCyclone","B","Decreasing","None","Strong","LessThanAve","None","Dry","DecCapIncIns","Stable","SVR","SVR","Steep","B","Stability","StrongUp","DenvCyclone","Wet","Clear","Clear","Dry","None","AB","Other"
"Moderate","LittleChange","Dry","Westerly","StronUp","SigPositive","Neutral","None","MoreUnstable","SVR","WeakUp","Other","ACEFK","SWQuad","StrongUp","K","MoreThanAve","Other","PartInhibit","Clear","May15_Jun14","None","N5GtLIGt_8","MoreUnstable","Strong","PC","MoistMDryL","PartInhibit","Down","SIG","MarkedUpper","Neutral","MovingFtorOt","K","LittleChange","Weak","None","MoreThanAve","Some","Neutral","LittleChange","ModerateOrLe","SVR","SVR","Steep","K","Stability","StrongUp","DenvCyclone","Neutral","Clear","Clear","Dry","None","CThruK","Moving"
"Unfavorable","LittleChange","Dry","LVorOther","WeakUp","LittleChange","Neutral","None","Average","SIG","WeakUp","Other","GJ","LV","Neutral","CDEJ","LessThanAve","LowAtStation","PartInhibit","Clear","Jun15_Jul1","None","N5GtLIGt_8","Average","Strong","Clear","Other","None","Down","XNIL","NoMajor","Dry","DryLine","J","LittleChange","Weak","None","LessThanAve","None","Dry","LittleChange","Steep","SIG","SVR","ModerateOrLe","J","Stability","Neutral","SEQuad","Wet","Clear","Clear","Wet","None","CThruK","Other"
"Unfavorable","Decreasing","Dry","LVorOther","Down","NegToPos","Negative","Weak","MoreUnstable","XNIL","WeakUp","Westerly","HI","SWQuad","WeakUp","ABI","LessThanAve","LowMtsHighPl","PartInhibit","Clear","Jul2_Jul15","None","N5GtLIGt_8","MoreUnstable","Strong","Clear","Other","None","Neutral","SVR","NoMajor","Wet","MovingFtorOt","I","Decreasing","Weak","None","Average","Marked","Neutral","DecCapIncIns","CloseToDryAd","SVR","XNIL","ModerateOrLe","I","Neutral","WeakUp","DenvCyclone","VeryWet","Clear","PC","Wet","Strong","CThruK","QStationary"
"Moderate","Increasing","Average","Westerly","WeakUp","SigNegative","WeakPos","Strong","LessUnstable","XNIL","Neutral","StrongWest","ACEFK","AllElse","WeakUp","CDEJ","MoreThanAve","LowMtsHighPl","PartInhibit","Clear","Aug11_Aug20","None","N1GtLIGt_4","Average","Strong","Clear","MoistMDryL","None","Neutral","SIG","MarkedUpper","Dry","E_W_N","C","Increasing","Weak","Strong","MoreThanAve","Marked","Wet","IncCapDecIns","Steep","SIG","XNIL","CloseToDryAd","C","Stability","WeakUp","LongAnticyc","VeryWet","Clear","PC","VeryWet","Strong","CThruK","Other"
"Weak","Increasing","Average","Westerly","Neutral","LittleChange","StrongPos","Strong","LessUnstable","XNIL","Neutral","Westerly","ACEFK","NWQuad","Neutral","K","MoreThanAve","LowEvrywhere","PartInhibit","Clear","May15_Jun14","None","LIGt0","LessUnstable","Strong","PC","DryMMoistL","None","StrongUp","SIG","StrongFront","VeryWet","None","K","Increasing","Weak","Slight","LessThanAve","Marked","Wet","IncCapDecIns","ModerateOrLe","SIG","XNIL","ModerateOrLe","K","Stability","Neutral","WidespdDnsl","VeryWet","PC","PC","Wet","Strong","CThruK","None"
"Weak","Increasing","Average","Westerly","Neutral","PosToNeg","WeakPos","Weak","MoreUnstable","XNIL","StrongUp","DCVZFavor","D","LV","Neutral","CDEJ","LessThanAve","LowMtsHighPl","None","Clear","Aug20_Sep15","Weak","N1GtLIGt_4","MoreUnstable","Strong","PC","DryMMoistL","None","Down","XNIL","OtherRapid","Neutral","DryLine","D","LittleChange","Strong","Strong","LessThanAve","Marked","Wet","LittleChange","Stable","XNIL","XNIL","CloseToDryAd","D","Neutral","Neutral","DenvCyclone","Wet","Clear","Clear","Wet","Strong","CThruK","Other"
"Weak","LittleChange","Average","Westerly","StronUp","PosToNeg","Neutral","Weak","MoreUnstable","SVR","Neutral","DCVZFavor","ACEFK","NWQuad","WeakUp","CDEJ","LessThanAve","LowMtsHighPl","PartInhibit","Clear","Jul16_Aug10","None","N1GtLIGt_4","MoreUnstable","None","PC","MoistMDryL","PartInhibit","Neutral","XNIL","MarkedUpper","Dry","E_W_N","C","LittleChange","None","None","LessThanAve","None","Neutral","LittleChange","Steep","SVR","SVR","CloseToDryAd","C","Instability","WeakUp","LongAnticyc","VeryWet","Clear","PC","VeryWet","None","CThruK","Other"
"Weak","Decreasing","Average","LVorOther","WeakUp","SigNegative","WeakPos","Weak","MoreUnstable","XNIL","StrongUp","Other","HI","AllElse","WeakUp","H","LessThanAve","LowSHighN","PartInhibit","Clear","May15_Jun14","None","N5GtLIGt_8","MoreUnstable","None","PC","DryMMoistL","None","Neutral","XNIL","MarkedUpper","Dry","None","H","Decreasing","None","Slight","LessThanAve","None","Dry","DecCapIncIns","Stable","XNIL","XNIL","ModerateOrLe","H","Stability","WeakUp","E_NE","VeryWet","Clear","Clear","Wet","None","CThruK","Moving"
"Moderate","LittleChange","Average","LVorOther","Neutral","PosToNeg","Neutral","Strong","Average","SIG","StrongUp","Other","D","SWQuad","WeakUp","CDEJ","MoreThanAve","LowSHighN","PartInhibit","Cloudy","Aug20_Sep15","Strong","N1GtLIGt_4","MoreUnstable","Strong","PC","DryMMoistL","PartInhibit","Neutral","SIG","OtherRapid","Dry","None","D","Increasing","Strong","Slight","Average","None","Wet","IncCapDecIns","Stable","SIG","SIG","ModerateOrLe","D","Neutral","WeakUp","SEQuad","Wet","PC","PC","Wet","Weak","CThruK","Other"
"Moderate","Increasing","Average","LVorOther","WeakUp","SigNegative","Neutral","Weak","Average","SVR","Neutral","DCVZFavor","HI","LV","Down","H","Average","LowMtsHighPl","PartInhibit","Clear","May15_Jun14","None","LIGt0","MoreUnstable","Strong","Clear","Other","None","Down","SVR","OtherRapid","Wet","MovingFtorOt","H","Increasing","Strong","Strong","LessThanAve","Marked","Neutral","IncCapDecIns","ModerateOrLe","SVR","SVR","ModerateOrLe","H","Instability","Down","E_NE","VeryWet","Clear","Clear","VeryWet","Weak","CThruK","Moving"
"Weak","Increasing","Average","LVorOther","Neutral","LittleChange","WeakPos","Weak","Average","SIG","Neutral","Other","GJ","LV","Neutral","CDEJ","MoreThanAve","LowSHighN","PartInhibit","Clear","Aug20_Sep15","None","N1GtLIGt_4","MoreUnstable","None","Clear","DryMMoistL","PartInhibit","StrongUp","XNIL","NoMajor","Dry","DryLine","J","Increasing","None","Strong","Average","None","Neutral","IncCapDecIns","Steep","SIG","SIG","ModerateOrLe","J","Stability","Neutral","LV","Wet","Clear","PC","Wet","None","CThruK","QStationary"
"Moderate","Increasing","Average","Westerly","WeakUp","PosToNeg","StrongPos","Weak","LessUnstable","XNIL","WeakUp","DCVZFavor","HI","SWQuad","WeakUp","ABI","Average","LowSHighN","Stifling","PC","Aug20_Sep15","Weak","LIGt0","Average","Weak","Cloudy","DryMMoistL","PartInhibit","WeakUp","SIG","NoMajor","Neutral","MovingFtorOt","I","LittleChange","Weak","Moderate","Average","Some","Wet","LittleChange","ModerateOrLe","SIG","SVR","ModerateOrLe","I","Neutral","WeakUp","E_NE","Neutral","PC","PC","Dry","None","CThruK","QStationary"
"Unfavorable","LittleChange","Dry","Westerly","StronUp","SigNegative","Negative","None","Average","SIG","Neutral","Westerly","GJ","SWQuad","WeakUp","G","MoreThanAve","LowEvrywhere","PartInhibit","PC","Jun15_Jul1","None","N5GtLIGt_8","Average","Weak","Clear","MoistMDryL","TotalInhibit","WeakUp","XNIL","OtherRapid","Wet","DryLine","G","Increasing","Weak","None","Average","Some","Dry","IncCapDecIns","CloseToDryAd","SIG","SIG","CloseToDryAd","G","Stability","WeakUp","WidespdDnsl","Dry","Clear","PC","Neutral","None","CThruK","None"
"Moderate","LittleChange","Average","LVorOther","Down","SigNegative","Neutral","Strong","Average","SVR","StrongUp","DCVZFavor","D","NWQuad","StrongUp","CDEJ","MoreThanAve","LowAtStation","Stifling","PC","Aug20_Sep15","Strong","N1GtLIGt_4","LessUnstable","Weak","Clear","MoistMDryL","None","Down","XNIL","NoMajor","Neutral","DenvCyclone","D","LittleChange","Weak","Strong","MoreThanAve","Some","VeryWet","LittleChange","Stable","SVR","SVR","ModerateOrLe","D","Neutral","StrongUp","WidespdDnsl","VeryWet","PC","PC","Wet","Weak","CThruK","Other"
"Weak","Increasing","Dry","Westerly","WeakUp","SigNegative","WeakPos","None","LessUnstable","SIG","Down","Westerly","GJ","SWQuad","Neutral","G","MoreThanAve","LowAtStation","PartInhibit","PC","Jun15_Jul1","None","LIGt0","MoreUnstable","Strong","Clear","MoistMDryL","PartInhibit","Neutral","SIG","NoMajor","Dry","DryLine","G","Increasing","Weak","None","Average","Some","Neutral","IncCapDecIns","CloseToDryAd","SIG","XNIL","Steep","G","Stability","Neutral","LongAnticyc","VeryWet","PC","PC","VeryWet","None","CThruK","None"
"Weak","Decreasing","Average","Westerly","StronUp","PosToNeg","Negative","None","Average","XNIL","StrongUp","Other","ACEFK","LV","StrongUp","CDEJ","MoreThanAve","LowAtStation","PartInhibit","Cloudy","Aug20_Sep15","None","N1GtLIGt_4","Average","Weak","Cloudy","MoistMDryL","Stifling","Neutral","XNIL","OtherRapid","Neutral","E_W_N","E","LittleChange","Weak","None","MoreThanAve","None","Neutral","LittleChange","Stable","XNIL","XNIL","ModerateOrLe","E","Stability","StrongUp","LongAnticyc","Wet","PC","PC","Neutral","None","CThruK","None"
"Unfavorable","Decreasing","VeryMoist","Westerly","WeakUp","PosToNeg","Negative","Strong","Average","XNIL","Neutral","Other","ACEFK","AllElse","Neutral","K","LessThanAve","LowAtStation","PartInhibit","Clear","Aug20_Sep15","Strong","N5GtLIGt_8","Average","Weak","Cloudy","MoistMDryL","None","Neutral","SIG","MarkedUpper","VeryWet","E_W_N","K","Decreasing","None","Slight","LessThanAve","None","Wet","DecCapIncIns","Stable","SIG","XNIL","ModerateOrLe","K","Instability","Neutral","LV","Wet","Clear","Clear","VeryWet","None","CThruK","Other"
"Weak","LittleChange","VeryMoist","LVorOther","Down","SigPositive","Neutral","Weak","LessUnstable","XNIL","Down","DCVZFavor","HI","AllElse","Down","ABI","MoreThanAve","LowSHighN","PartInhibit","Clear","May15_Jun14","None","LIGt0","LessUnstable","Strong","Clear","Other","PartInhibit","Neutral","XNIL","OtherRapid","Wet","E_W_S","I","Increasing","Strong","None","MoreThanAve","Some","Dry","IncCapDecIns","CloseToDryAd","XNIL","XNIL","CloseToDryAd","I","Stability","Down","DenvCyclone","Neutral","Clear","Clear","Neutral","Strong","CThruK","QStationary"
"Weak","Decreasing","Dry","LVorOther","Down","SigPositive","Negative","None","LessUnstable","XNIL","Down","Other","ACEFK","NWQuad","Neutral","CDEJ","MoreThanAve","LowEvrywhere","Stifling","PC","May15_Jun14","None","LIGt0","LessUnstable","Weak","PC","Other","None","Neutral","XNIL","OtherRapid","Neutral","E_W_N","C","Increasing","Weak","Slight","MoreThanAve","None","Dry","IncCapDecIns","Steep","XNIL","XNIL","Steep","C","Instability","Neutral","LongAnticyc","Neutral","PC","PC","Dry","Weak","CThruK","None"
"Moderate","Decreasing","Dry","Westerly","Neutral","LittleChange","Negative","Weak","MoreUnstable","SIG","WeakUp","DCVZFavor","GJ","SWQuad","Neutral","G","MoreThanAve","LowEvrywhere","PartInhibit","Cloudy","Aug20_Sep15","Strong","N5GtLIGt_8","MoreUnstable","None","Cloudy","Other","PartInhibit","WeakUp","XNIL","MarkedUpper","Wet","None","G","LittleChange","None","Slight","MoreThanAve","None","Wet","LittleChange","CloseToDryAd","SIG","SIG","CloseToDryAd","G","Instability","Neutral","WidespdDnsl","Neutral","Cloudy","Cloudy","Neutral","None","CThruK","Other"
"Strong","LittleChange","Average","LVorOther","Neutral","LittleChange","Negative","Weak","Average","XNIL","StrongUp","StrongWest","GJ","LV","WeakUp","CDEJ","LessThanAve","LowAtStation","PartInhibit","PC","Aug20_Sep15","Weak","LIGt0","Average","Strong","PC","MoistMDryL","None","Neutral","SVR","NoMajor","Neutral","None","J","Decreasing","Strong","Strong","Average","Marked","Wet","DecCapIncIns","Steep","SVR","XNIL","Steep","J","Instability","WeakUp","LV","Wet","PC","PC","Wet","Strong","CThruK","QStationary"
"Moderate","LittleChange","Dry","LVorOther","WeakUp","SigPositive","WeakPos","Weak","MoreUnstable","SIG","WeakUp","StrongWest","ACEFK","NWQuad","WeakUp","K","MoreThanAve","LowNHighS","Stifling","Clear","Jun15_Jul1","None","LILt_8","MoreUnstable","Weak","PC","DryMMoistL","Stifling","Neutral","SIG","StrongFront","Neutral","None","K","LittleChange","None","None","MoreThanAve","None","Dry","LittleChange","Steep","SIG","SIG","Steep","K","Instability","WeakUp","WidespdDnsl","Wet","Clear","Clear","Dry","Strong","CThruK","Moving"
"Moderate","LittleChange","Dry","Westerly","Down","SigPositive","WeakPos","Strong","LessUnstable","SIG","WeakUp","Westerly","D","NWQuad","Neutral","CDEJ","LessThanAve","HighEvrywher","None","Cloudy","Aug20_Sep15","None","N5GtLIGt_8","LessUnstable","Weak","Cloudy","DryMMoistL","None","Neutral","SIG","MarkedUpper","VeryWet","Other","D","Decreasing","Weak","Slight","LessThanAve","Some","Dry","DecCapIncIns","Steep","SIG","SIG","Steep","D","Neutral","Neutral","WidespdDnsl","Neutral","Cloudy","PC","Neutral","Weak","CThruK","None"
"Moderate","Increasing","Dry","Westerly","Down","SigPositive","WeakPos","Weak","Average","XNIL","Neutral","Westerly","D","SWQuad","Neutral","CDEJ","MoreThanAve","LowMtsHighPl","Stifling","PC","Aug20_Sep15","None","N1GtLIGt_4","Average","Strong","Clear","DryMMoistL","None","WeakUp","XNIL","StrongFront","Wet","None","D","Increasing","Weak","Slight","MoreThanAve","None","VeryWet","IncCapDecIns","Steep","XNIL","XNIL","CloseToDryAd","D","Stability","Neutral","LV","Wet","PC","PC","VeryWet","Strong","CThruK","Other"
"Strong","Decreasing","Average","LVorOther","StronUp","LittleChange","Negative","Strong","LessUnstable","XNIL","Down","DCVZFavor","GJ","LV","WeakUp","CDEJ","Average","LowEvrywhere","Stifling","PC","Aug20_Sep15","Strong","LIGt0","LessUnstable","Strong","PC","Other","None","Down","SVR","NoMajor","Wet","DryLine","J","LittleChange","Strong","Strong","Average","Marked","Dry","LittleChange","CloseToDryAd","SVR","XNIL","Steep","J","Stability","WeakUp","LongAnticyc","Wet","Clear","Clear","Wet","Strong","CThruK","None"
"Moderate","Decreasing","VeryMoist","Westerly","Neutral","PosToNeg","Negative","Strong","Average","SIG","WeakUp","Westerly","ACEFK","SWQuad","WeakUp","ABI","LessThanAve","Other","PartInhibit","PC","Aug20_Sep15","Weak","N1GtLIGt_4","Average","Strong","PC","DryMMoistL","None","StrongUp","SIG","MarkedUpper","Neutral","E_W_N","A","LittleChange","Weak","Strong","LessThanAve","None","Dry","LittleChange","Stable","SIG","SIG","CloseToDryAd","A","Stability","WeakUp","DenvCyclone","Dry","Cloudy","Cloudy","Dry","Strong","AB","Other"
"Weak","Decreasing","Average","Westerly","WeakUp","SigNegative","Neutral","None","LessUnstable","SVR","StrongUp","Other","ACEFK","NWQuad","Neutral","CDEJ","LessThanAve","LowNHighS","None","Clear","Jul16_Aug10","None","N1GtLIGt_4","LessUnstable","Weak","Clear","Other","PartInhibit","Down","XNIL","OtherRapid","Dry","DryLine","C","Decreasing","None","Moderate","LessThanAve","Some","Wet","DecCapIncIns","CloseToDryAd","SVR","SVR","Steep","C","Stability","Neutral","WidespdDnsl","Wet","Clear","PC","Neutral","None","CThruK","QStationary"
"Weak","Increasing","Dry","Westerly","StronUp","SigNegative","WeakPos","Weak","LessUnstable","SVR","Neutral","DCVZFavor","HI","SWQuad","WeakUp","ABI","Average","LowSHighN","PartInhibit","PC","Jun15_Jul1","None","N1GtLIGt_4","Average","Strong","PC","DryMMoistL","PartInhibit","Neutral","SIG","NoMajor","VeryWet","E_W_S","I","Increasing","Strong","Slight","Average","Marked","Neutral","IncCapDecIns","Steep","SVR","SVR","CloseToDryAd","I","Stability","WeakUp","E_NE","Wet","PC","Clear","Wet","Strong","CThruK","QStationary"
